scanned_at,city,hotel_id,checkin,checkout,nights,adults,nightly_price,total_price,strikeout_price,on_deal,discount_pct
2026-06-09T00:20:16,Toronto,21783,2026-06-16,2026-06-18,2,1,351.0,860.0,956.0,1,10.0
2026-06-09T00:20:16,Toronto,13722,2026-06-16,2026-06-18,2,1,253.0,619.0,774.0,1,20.0
2026-06-09T00:20:16,Toronto,17289,2026-06-16,2026-06-18,2,1,313.0,768.0,1097.0,1,30.0
2026-06-09T00:20:16,Toronto,18781,2026-06-16,2026-06-18,2,1,282.0,691.0,921.0,1,25.0
2026-06-09T00:20:16,Toronto,1234327,2026-06-16,2026-06-18,2,1,337.0,826.0,1158.0,1,28.7
2026-06-09T00:20:16,Toronto,23541,2026-06-16,2026-06-18,2,1,412.0,1011.0,,0,0.0
2026-06-09T00:20:16,Toronto,900502,2026-06-16,2026-06-18,2,1,411.0,1007.0,,0,0.0
2026-06-09T00:20:16,Toronto,27994,2026-06-16,2026-06-18,2,1,255.0,626.0,,0,0.0
2026-06-09T00:20:16,Toronto,19822661,2026-06-16,2026-06-18,2,1,399.0,979.0,1151.0,1,14.9
2026-06-09T00:20:16,Toronto,106831048,2026-06-16,2026-06-18,2,1,341.0,835.0,982.0,1,15.0
2026-06-09T00:20:16,Toronto,13735,2026-06-16,2026-06-18,2,1,332.0,813.0,,0,0.0
2026-06-09T00:20:16,Toronto,25713,2026-06-16,2026-06-18,2,1,347.0,850.0,1000.0,1,15.0
2026-06-09T00:20:16,Toronto,83844945,2026-06-16,2026-06-18,2,1,333.0,816.0,,0,0.0
2026-06-09T00:20:16,Toronto,2232458,2026-06-16,2026-06-18,2,1,336.0,824.0,,0,0.0
2026-06-09T00:20:16,Toronto,19371,2026-06-16,2026-06-18,2,1,538.0,1319.0,1466.0,1,10.0
2026-06-09T00:20:16,Toronto,8214,2026-06-16,2026-06-18,2,1,375.0,920.0,,0,0.0
2026-06-09T00:20:16,Toronto,7352,2026-06-16,2026-06-18,2,1,321.0,786.0,983.0,1,20.0
2026-06-09T00:20:16,Toronto,3988366,2026-06-16,2026-06-18,2,1,594.0,1457.0,,0,0.0
2026-06-09T00:20:16,Toronto,8301308,2026-06-16,2026-06-18,2,1,467.0,1145.0,,0,0.0
2026-06-09T00:20:16,Toronto,4978,2026-06-16,2026-06-18,2,1,409.0,1044.0,,0,0.0
2026-06-09T00:20:16,Toronto,19752581,2026-06-16,2026-06-18,2,1,366.0,897.0,1055.0,1,15.0
2026-06-09T00:20:16,Toronto,17503,2026-06-16,2026-06-18,2,1,447.0,1096.0,,0,0.0
2026-06-09T00:20:16,Toronto,9495,2026-06-16,2026-06-18,2,1,414.0,1069.0,,0,0.0
2026-06-09T00:20:16,Toronto,52918,2026-06-16,2026-06-18,2,1,425.0,1043.0,1119.0,1,6.8
2026-06-09T00:20:16,Toronto,1221183,2026-06-16,2026-06-18,2,1,315.0,820.0,911.0,1,10.0
2026-06-09T00:20:16,Toronto,5178153,2026-06-16,2026-06-18,2,1,645.0,1582.0,,0,0.0
2026-06-09T00:20:16,Toronto,14358,2026-06-16,2026-06-18,2,1,923.0,2263.0,,0,0.0
2026-06-09T00:20:16,Toronto,2920159,2026-06-16,2026-06-18,2,1,538.0,1365.0,1774.0,1,23.1
2026-06-09T00:20:16,Toronto,117279789,2026-06-16,2026-06-18,2,1,411.0,1008.0,1633.0,1,38.3
2026-06-09T00:20:16,Toronto,898670,2026-06-16,2026-06-18,2,1,606.0,1501.0,,0,0.0
2026-06-09T00:20:16,Toronto,19627,2026-06-16,2026-06-18,2,1,257.0,630.0,,0,0.0
2026-06-09T00:20:16,Toronto,16617,2026-06-16,2026-06-18,2,1,254.0,622.0,,0,0.0
2026-06-09T00:20:16,Toronto,19088,2026-06-16,2026-06-18,2,1,213.0,522.0,,0,0.0
2026-06-09T00:20:16,Toronto,661795,2026-06-16,2026-06-18,2,1,196.0,482.0,,0,0.0
2026-06-09T00:20:16,Toronto,441192,2026-06-16,2026-06-18,2,1,229.0,564.0,,0,0.0
2026-06-09T00:20:16,Toronto,1754017,2026-06-16,2026-06-18,2,1,257.0,634.0,697.0,1,9.0
2026-06-09T00:20:16,Toronto,8051,2026-06-16,2026-06-18,2,1,217.0,533.0,,0,0.0
2026-06-09T00:20:16,Toronto,444543,2026-06-16,2026-06-18,2,1,275.0,663.0,787.0,1,15.8
2026-06-09T00:20:16,Toronto,94900038,2026-06-16,2026-06-18,2,1,154.0,409.0,567.0,1,27.9
2026-06-09T00:20:16,Toronto,31924810,2026-06-16,2026-06-18,2,1,175.0,517.0,565.0,1,8.5
